year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	ProductionType_Name	AggregatedInstalledCapacity	SubmissionTS
2016	1	1	2016-01-01 00:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	Geothermal 	24.42	2017-08-09 11:13:33.000
2016	1	1	2016-01-01 00:00:00.000	BZN	MAVIR BZ	HU	Hydro Run-of-river and poundage 	28.98	2016-07-15 08:09:39.000
2016	1	1	2016-01-01 00:00:00.000	BZN	MAVIR BZ	HU	Hydro Water Reservoir 	28.00	2016-07-15 08:09:39.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Hungary	HU	Hydro Water Reservoir 	28.00	2016-07-15 08:09:39.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Hungary	HU	Hydro Run-of-river and poundage 	28.98	2016-07-15 08:09:39.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Lithuania	LT	Hydro Run-of-river and poundage 	128.00	2016-07-15 08:10:00.000
2016	1	1	2016-01-01 00:00:00.000	BZN	Litgrid BZ	LT	Hydro Run-of-river and poundage 	128.00	2016-07-15 08:10:00.000
2016	1	1	2016-01-01 00:00:00.000	BZN	TenneT NL BZ	NL	Fossil Brown coal/Lignite 	0.00	2016-07-15 08:10:33.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Netherlands	NL	Fossil Brown coal/Lignite 	0.00	2016-07-15 08:10:33.000
2016	1	1	2016-01-01 00:00:00.000	BZN	TenneT NL BZ	NL	Other renewable 	0.00	2016-07-15 08:10:42.000
2016	1	1	2016-01-01 00:00:00.000	BZN	TenneT NL BZ	NL	Solar 	1429.00	2016-07-15 08:10:42.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Netherlands	NL	Other renewable 	0.00	2016-07-15 08:10:42.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Netherlands	NL	Solar 	1429.00	2016-07-15 08:10:42.000
2016	1	1	2016-01-01 00:00:00.000	BZN	PSE SA BZ	PL	Wind Onshore 	5494.46	2016-07-15 08:10:51.000
2016	1	1	2016-01-01 00:00:00.000	BZN	PSE SA BZ	PL	Solar 	77.25	2016-07-15 08:10:51.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Poland	PL	Wind Onshore 	5494.46	2016-07-15 08:10:51.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Poland	PL	Solar 	77.25	2016-07-15 08:10:51.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Fossil Gas 	30295.20	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Fossil Brown coal/Lignite 	1055.70	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Fossil Hard coal 	9410.90	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Waste 	378.40	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Fossil Coal-derived gas 	0.00	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Nuclear 	7572.40	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Hydro Water Reservoir 	19076.30	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Wind Offshore 	0.00	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Biomass 	704.50	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Fossil Oil shale 	0.00	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Hydro Run-of-river and poundage 	1156.30	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Other renewable 	157.30	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Other 	102.60	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Fossil Peat 	0.00	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Hydro Pumped Storage 	5593.40	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Marine 	0.00	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTA	REE CA	ES	Solar 	6500.30	2015-12-15 11:00:06.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Denmark	DK	Waste 	363.00	2016-07-15 08:05:03.000
2016	1	1	2016-01-01 00:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	Fossil Oil 	1435.00	2016-06-03 12:28:17.000
2016	1	1	2016-01-01 00:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	Fossil Brown coal/Lignite 	387.00	2016-06-03 12:28:17.000
2016	1	1	2016-01-01 00:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	Nuclear 	4180.00	2016-06-03 12:28:17.000
2016	1	1	2016-01-01 00:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	Fossil Hard coal 	6230.00	2016-06-03 12:28:17.000
2016	1	1	2016-01-01 00:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	Hydro Water Reservoir 	87.20	2016-06-03 12:28:17.000
2016	1	1	2016-01-01 00:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	Fossil Oil shale 	0.00	2016-06-03 12:28:17.000
2016	1	1	2016-01-01 00:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	Other 	383.00	2016-06-03 12:28:17.000
2016	1	1	2016-01-01 00:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	Fossil Gas 	8536.00	2016-06-03 12:28:17.000
2016	1	1	2016-01-01 00:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	Hydro Run-of-river and poundage 	1764.00	2016-06-03 12:28:17.000
2016	1	1	2016-01-01 00:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	Waste 	461.00	2016-06-03 12:28:17.000
2016	1	1	2016-01-01 00:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	Hydro Pumped Storage 	1229.00	2016-06-03 12:28:17.000
2016	1	1	2016-01-01 00:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	Marine 	0.00	2016-06-03 12:28:17.000
2016	1	1	2016-01-01 00:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	Fossil Peat 	0.00	2016-06-03 12:28:17.000
2016	1	1	2016-01-01 00:00:00.000	CTA	50Hertz CA	DE_50HzT	Fossil Hard coal 	3418.00	2016-06-03 13:51:37.000
2016	1	1	2016-01-01 00:00:00.000	CTA	SvK CA	SE	Nuclear 	8890.00	2015-12-08 09:51:43.000
2016	1	1	2016-01-01 00:00:00.000	CTA	swissgrid CA	CH	Nuclear 	3375.00	2016-02-19 10:03:51.000
2016	1	1	2016-01-01 00:00:00.000	CTA	swissgrid CA	CH	Hydro Run-of-river and poundage 	190.00	2016-02-19 10:03:51.000
2016	1	1	2016-01-01 00:00:00.000	CTA	swissgrid CA	CH	Hydro Water Reservoir 	4801.80	2016-02-19 10:03:51.000
2016	1	1	2016-01-01 00:00:00.000	CTA	swissgrid CA	CH	Hydro Pumped Storage 	4178.00	2016-02-19 10:03:51.000
2016	1	1	2016-01-01 00:00:00.000	CTA	EMS CA	RS	Other 	403.00	2016-12-26 10:04:23.000
2016	1	1	2016-01-01 00:00:00.000	CTA	EMS CA	RS	Hydro Water Reservoir 	420.00	2016-12-26 10:04:23.000
2016	1	1	2016-01-01 00:00:00.000	CTA	EMS CA	RS	Hydro Pumped Storage 	614.00	2016-12-26 10:04:23.000
2016	1	1	2016-01-01 00:00:00.000	CTA	EMS CA	RS	Fossil Brown coal/Lignite 	5566.00	2016-12-26 10:04:23.000
2016	1	1	2016-01-01 00:00:00.000	CTA	EMS CA	RS	Hydro Run-of-river and poundage 	1883.00	2016-12-26 10:04:23.000
2016	1	1	2016-01-01 00:00:00.000	CTA	EMS CA	RS	Fossil Gas 	0.00	2016-12-26 10:04:23.000
2016	1	1	2016-01-01 00:00:00.000	BZN	IPTO BZ	GR	Wind Onshore 	1875.00	2016-10-03 07:02:47.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Greece	GR	Wind Onshore 	1875.00	2016-10-03 07:02:47.000
2016	1	1	2016-01-01 00:00:00.000	CTA	Amprion CA	DE_Amprion	Fossil Gas 	12308.00	2017-11-20 07:13:54.000
2016	1	1	2016-01-01 00:00:00.000	CTA	Fingrid CA	FI	Biomass 	1534.00	2015-12-22 07:25:43.000
2016	1	1	2016-01-01 00:00:00.000	BZN	CEPS BZ	CZ	Fossil Oil 	0.00	2016-08-19 12:18:04.000
