year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	TotalLoadValue	SubmissionTS
2017	2	11	2017-02-11 22:30:00.000	CTA	APG CA	AT	6873.200000	2017-05-11 07:54:13.000
2017	2	25	2017-02-25 05:45:00.000	BZN	MAVIR BZ	HU	4616.830000	2017-02-25 23:19:28.000
2017	2	25	2017-02-25 13:30:00.000	BZN	MAVIR BZ	HU	4880.880000	2017-02-25 23:19:28.000
2017	2	25	2017-02-25 17:00:00.000	BZN	MAVIR BZ	HU	5387.360000	2017-02-25 23:19:28.000
2017	2	1	2017-02-01 21:30:00.000	BZN	Ireland - (SEM) BZ	IE_SEM	4962.560000	2017-02-01 22:19:18.000
2017	2	15	2017-02-15 15:00:00.000	BZN	Elering BZ	EE	1226.600000	2017-02-15 16:35:02.000
2017	2	10	2017-02-10 01:00:00.000	BZN	IPTO BZ	GR	4683.000000	2017-02-10 02:36:18.000
2017	2	17	2017-02-17 21:45:00.000	BZN	DE-AT-LU	DE_AT_LU	64204.710000	2017-05-11 07:55:27.000
2017	2	17	2017-02-17 16:30:00.000	BZN	DE-AT-LU	DE_AT_LU	78406.930000	2017-05-11 07:55:27.000
2017	2	3	2017-02-03 00:00:00.000	BZN	Litgrid BZ	LT	1044.000000	2017-02-03 01:11:12.000
2017	2	15	2017-02-15 05:00:00.000	BZN	AST BZ	LV	995.000000	2017-02-15 06:01:10.000
2017	2	26	2017-02-26 11:00:00.000	BZN	NO2 BZ	NO2	4417.850000	2017-03-01 21:51:21.000
2017	2	4	2017-02-04 19:00:00.000	BZN	Litgrid BZ	LT	1367.000000	2017-02-04 20:11:11.000
2017	2	28	2017-02-28 01:00:00.000	CTA	RTE CA	FR	57881.000000	2017-02-28 02:50:10.000
2017	2	24	2017-02-24 17:00:00.000	CTA	Statnett CA	NO	19701.580000	2017-02-27 21:53:57.000
2017	2	28	2017-02-28 04:00:00.000	CTY	Estonia	EE	980.100000	2017-02-28 05:35:05.000
2017	2	14	2017-02-14 19:00:00.000	CTA	IPTO CA	GR	7811.000000	2017-02-14 20:36:27.000
2017	2	14	2017-02-14 20:00:00.000	CTA	REE CA	ES	35302.000000	2017-02-14 21:15:33.000
2017	2	1	2017-02-01 02:00:00.000	CTA	HOPS CA	HR	1634.000000	2017-02-05 10:04:20.000
2017	2	26	2017-02-26 02:00:00.000	CTA	Statnett CA	NO	16067.550000	2017-03-01 21:53:36.000
2017	2	25	2017-02-25 23:00:00.000	CTA	Statnett CA	NO	16740.370000	2017-03-01 21:53:36.000
2017	2	26	2017-02-26 04:00:00.000	CTA	Statnett CA	NO	16344.660000	2017-03-01 21:53:36.000
2017	2	26	2017-02-26 01:00:00.000	CTA	Statnett CA	NO	16132.720000	2017-03-01 21:53:36.000
2017	2	23	2017-02-23 13:00:00.000	CTA	HOPS CA	HR	2175.000000	2017-02-27 10:04:19.000
2017	2	8	2017-02-08 07:30:00.000	CTA	TenneT NL CA	NL	16935.000000	2017-02-27 11:52:08.000
2017	2	10	2017-02-10 17:30:00.000	CTA	TenneT NL CA	NL	17519.000000	2017-02-27 12:24:05.000
2017	2	8	2017-02-08 14:00:00.000	CTA	TenneT NL CA	NL	17317.000000	2017-02-27 11:53:10.000
2017	2	14	2017-02-14 14:00:00.000	CTA	National Grid CA	GB	45238.000000	2017-02-14 14:41:15.000
2017	2	15	2017-02-15 13:00:00.000	CTA	RTE CA	FR	63521.000000	2017-02-15 14:35:31.000
2017	2	27	2017-02-27 23:00:00.000	BZN	IT-North BZ	IT_NORD	15230.000000	2017-03-01 06:00:55.000
2017	2	23	2017-02-23 08:30:00.000	CTA	EirGrid CA	IE	3582.850000	2017-02-23 09:19:18.000
2017	2	15	2017-02-15 12:00:00.000	CTA	MEPSO CA	MK	971.000000	2017-02-16 12:04:02.000
2017	2	7	2017-02-07 04:15:00.000	CTA	TenneT GER CA	DE_TenneT_GER	15694.820000	2017-02-09 00:03:02.000
2017	2	7	2017-02-07 15:00:00.000	CTA	TenneT GER CA	DE_TenneT_GER	21803.390000	2017-02-09 00:03:02.000
2017	2	7	2017-02-07 03:45:00.000	CTA	TenneT GER CA	DE_TenneT_GER	15043.790000	2017-02-09 00:03:02.000
2017	2	7	2017-02-07 07:15:00.000	CTA	TenneT GER CA	DE_TenneT_GER	22075.950000	2017-02-09 00:03:02.000
2017	2	7	2017-02-07 17:15:00.000	CTA	TenneT GER CA	DE_TenneT_GER	22600.170000	2017-02-09 00:03:02.000
2017	2	11	2017-02-11 11:00:00.000	BZN	EMS BZ	RS	5821.000000	2017-02-14 15:10:53.000
2017	2	18	2017-02-18 17:00:00.000	BZN	CEPS BZ	CZ	8525.350000	2017-02-18 18:09:13.000
2017	2	25	2017-02-25 11:00:00.000	BZN	RTE BZ	FR	62444.000000	2017-02-25 12:50:12.000
2017	2	17	2017-02-17 19:00:00.000	BZN	CGES BZ	ME	468.660000	2017-02-17 23:30:54.000
2017	2	2	2017-02-02 20:00:00.000	BZN	DK2 BZ	DK2	1712.970000	2017-02-02 21:46:09.000
2017	2	9	2017-02-09 22:00:00.000	BZN	DK2 BZ	DK2	1526.110000	2017-02-09 23:46:10.000
2017	2	9	2017-02-09 07:00:00.000	BZN	CEPS BZ	CZ	9977.910000	2017-02-14 15:13:31.000
2017	2	5	2017-02-05 19:30:00.000	CTY	Austria	AT	7294.400000	2017-05-11 07:54:38.000
2017	2	26	2017-02-26 04:00:00.000	CTY	Denmark	DK	2845.390000	2017-02-26 05:46:21.000
2017	2	18	2017-02-18 18:30:00.000	CTA	CREOS CA	LU	563.000000	2017-05-05 12:36:49.000
2017	2	18	2017-02-18 11:15:00.000	CTA	CREOS CA	LU	529.000000	2017-05-05 12:36:49.000
2017	2	9	2017-02-09 20:00:00.000	CTY	Czech Republic	CZ	9106.170000	2017-02-09 21:07:48.000
2017	2	12	2017-02-12 02:00:00.000	CTY	Serbia	RS	4905.000000	2017-02-14 15:10:51.000
2017	2	21	2017-02-21 06:30:00.000	CTY	Austria	AT	9087.600000	2017-05-11 07:55:46.000
2017	2	19	2017-02-19 01:45:00.000	CTY	Austria	AT	5982.000000	2017-05-11 07:56:48.000
2017	2	2	2017-02-02 09:15:00.000	CTY	Austria	AT	10295.200000	2017-05-11 07:55:42.000
2017	2	24	2017-02-24 01:00:00.000	CTA	Transelectrica CA	RO	6100.000000	2017-02-24 02:20:35.000
2017	2	19	2017-02-19 20:45:00.000	CTY	Austria	AT	6910.400000	2017-05-11 07:56:48.000
2017	2	2	2017-02-02 05:45:00.000	CTY	Austria	AT	9313.600000	2017-05-11 07:55:42.000
2017	2	2	2017-02-02 13:30:00.000	CTY	Austria	AT	9700.800000	2017-05-11 07:55:42.000
2017	2	2	2017-02-02 17:00:00.000	CTY	Austria	AT	10233.200000	2017-05-11 07:55:42.000
2017	2	19	2017-02-19 16:00:00.000	CTY	Austria	AT	7174.800000	2017-05-11 07:56:48.000
2017	2	13	2017-02-13 22:30:00.000	CTY	Austria	AT	7457.600000	2017-05-11 07:55:46.000
2017	2	14	2017-02-14 15:30:00.000	CTY	Austria	AT	9092.000000	2017-05-11 07:55:42.000
2017	2	19	2017-02-19 05:15:00.000	CTY	Austria	AT	6130.800000	2017-05-11 07:56:48.000
2017	2	14	2017-02-14 04:45:00.000	CTY	Austria	AT	7842.400000	2017-05-11 07:55:42.000
2017	2	14	2017-02-14 07:45:00.000	CTY	Austria	AT	9726.400000	2017-05-11 07:55:42.000
2017	2	2	2017-02-02 03:30:00.000	CTY	Austria	AT	7065.200000	2017-05-11 07:55:42.000
2017	2	19	2017-02-19 13:00:00.000	CTY	Austria	AT	6858.800000	2017-05-11 07:56:48.000
2017	2	2	2017-02-02 14:00:00.000	CTY	Austria	AT	9708.000000	2017-05-11 07:55:42.000
2017	2	1	2017-02-01 16:30:00.000	CTY	Cyprus	CY	806.980000	2017-02-01 17:12:42.000
2017	2	21	2017-02-21 15:30:00.000	CTA	APG CA	AT	9177.600000	2017-05-11 07:54:36.000
2017	2	21	2017-02-21 20:15:00.000	CTA	APG CA	AT	7819.200000	2017-05-11 07:54:36.000
2017	2	7	2017-02-07 10:00:00.000	BZN	NO3 BZ	NO3	3843.610000	2017-02-10 21:51:17.000
2017	2	17	2017-02-17 03:00:00.000	BZN	NO3 BZ	NO3	2933.660000	2017-02-20 21:51:18.000
2017	2	3	2017-02-03 06:00:00.000	BZN	TenneT NL BZ	NL	13993.000000	2017-02-20 14:07:10.000
2017	2	1	2017-02-01 06:00:00.000	BZN	TenneT NL BZ	NL	14511.000000	2017-02-20 13:54:11.000
2017	2	3	2017-02-03 00:30:00.000	BZN	TenneT NL BZ	NL	10911.000000	2017-02-20 14:08:02.000
2017	2	3	2017-02-03 19:15:00.000	BZN	TenneT NL BZ	NL	15285.000000	2017-02-20 14:07:10.000
2017	2	1	2017-02-01 22:15:00.000	BZN	TenneT NL BZ	NL	12691.000000	2017-02-20 13:58:22.000
2017	2	12	2017-02-12 03:00:00.000	BZN	PSE SA BZ	PL	15942.540000	2017-02-13 06:06:44.000
2017	2	12	2017-02-12 13:00:00.000	BZN	PSE SA BZ	PL	19255.310000	2017-02-13 06:06:44.000
2017	2	2	2017-02-02 16:15:00.000	BZN	TenneT NL BZ	NL	16812.000000	2017-02-20 13:59:08.000
2017	2	1	2017-02-01 12:30:00.000	BZN	TenneT NL BZ	NL	17082.000000	2017-02-20 13:59:05.000
2017	2	2	2017-02-02 13:30:00.000	BZN	TenneT NL BZ	NL	15853.000000	2017-02-20 13:58:59.000
2017	2	16	2017-02-16 18:00:00.000	CTA	CEPS CA	CZ	9516.480000	2017-02-16 19:06:51.000
2017	2	9	2017-02-09 07:00:00.000	CTA	Fingrid CA	FI	13644.000000	2017-02-09 08:03:14.000
2017	2	9	2017-02-09 23:00:00.000	CTA	IPTO CA	GR	4935.000000	2017-02-10 00:36:05.000
2017	2	10	2017-02-10 00:00:00.000	CTA	IPTO CA	GR	4858.000000	2017-02-10 01:36:15.000
2017	2	26	2017-02-26 00:00:00.000	CTA	Energinet CA	DK	2795.760000	2017-02-26 01:46:10.000
2017	2	1	2017-02-01 05:00:00.000	CTA	Elia CA	BE	10660.240000	2017-04-02 09:45:16.000
2017	2	28	2017-02-28 01:15:00.000	CTA	APG CA	AT	6462.000000	2017-05-11 07:54:32.000
2017	2	26	2017-02-26 19:15:00.000	CTA	50Hertz CA	DE_50HzT	9618.290000	2017-02-26 19:46:42.000
2017	2	23	2017-02-23 00:45:00.000	CTA	TransnetBW CA	DE_TransnetBW	6220.260000	2017-02-23 23:06:06.000
2017	2	25	2017-02-25 11:15:00.000	CTA	50Hertz CA	DE_50HzT	10324.800000	2017-02-25 11:46:49.000
2017	2	19	2017-02-19 22:00:00.000	CTY	Lithuania	LT	957.000000	2017-02-19 23:18:31.000
2017	2	19	2017-02-19 02:00:00.000	CTY	Finland	FI	9572.600000	2017-02-19 03:03:22.000
2017	2	13	2017-02-13 00:00:00.000	CTY	Luxembourg	LU	432.000000	2017-05-05 12:39:15.000
