year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	PowerSystemResourceName	ProductionTypeName	ActualGenerationOutput	ActualConsumption	InstalledGenCapacity	SubmissionTS
2016	1	29	2016-01-29 19:00:00.000	CTA	RTE CA	FR	GRAND MAISON 3	Hydro Pumped Storage 	62.000000	0.000000	152.00	2016-01-29 20:54:08.000
2016	1	29	2016-01-29 13:00:00.000	CTA	RTE CA	FR	FLAMANVILLE 1	Nuclear 	1288.000000	0.000000	1330.00	2016-01-29 14:53:08.000
2016	1	29	2016-01-29 18:00:00.000	CTA	RTE CA	FR	COMBIGOLFE CCG	Fossil Gas 	430.000000	0.000000	425.00	2016-01-29 19:57:08.000
2016	1	29	2016-01-29 18:00:00.000	CTA	RTE CA	FR	ST ALBAN 1	Nuclear 	1325.000000	0.000000	1335.00	2016-01-29 19:57:08.000
2016	1	29	2016-01-29 18:00:00.000	CTA	RTE CA	FR	FLAMANVILLE 1	Nuclear 	1288.000000	0.000000	1330.00	2016-01-29 19:57:08.000
2016	1	29	2016-01-29 18:00:00.000	CTA	RTE CA	FR	PORCHEVILLE 2	Fossil Oil 	0.000000	0.000000	585.00	2016-01-29 19:57:08.000
2016	1	29	2016-01-29 18:00:00.000	CTA	RTE CA	FR	GOLFECH 1	Nuclear 	1300.000000	0.000000	1310.00	2016-01-29 19:57:08.000
2016	1	29	2016-01-29 18:00:00.000	CTA	RTE CA	FR	GRAVELINES 4	Nuclear 	941.000000	0.000000	910.00	2016-01-29 19:57:08.000
2016	1	29	2016-01-29 18:00:00.000	CTA	RTE CA	FR	GRAND MAISON 11	Hydro Pumped Storage 	80.000000	0.000000	157.00	2016-01-29 19:57:08.000
2016	1	29	2016-01-29 18:00:00.000	CTA	RTE CA	FR	BUGEY 5	Nuclear 	0.000000	10.000000	880.00	2016-01-29 19:57:08.000
2016	1	29	2016-01-29 13:00:00.000	CTA	RTE CA	FR	GOLFECH 1	Nuclear 	1300.000000	0.000000	1310.00	2016-01-29 14:53:08.000
2016	1	29	2016-01-29 13:00:00.000	CTA	RTE CA	FR	GRAVELINES 4	Nuclear 	942.000000	0.000000	910.00	2016-01-29 14:53:08.000
2016	1	29	2016-01-29 13:00:00.000	CTA	RTE CA	FR	GRAND MAISON 11	Hydro Pumped Storage 	44.000000	0.000000	157.00	2016-01-29 14:53:08.000
2016	1	29	2016-01-29 13:00:00.000	CTA	RTE CA	FR	ST ALBAN 2	Nuclear 	1296.000000	0.000000	1335.00	2016-01-29 14:53:08.000
2016	1	29	2016-01-29 13:00:00.000	CTA	RTE CA	FR	BUGEY 5	Nuclear 	0.000000	8.000000	880.00	2016-01-29 14:53:08.000
