year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	ProductionType_Name	ActualConsumption	ActualGenerationOutput	SubmissionTS
2016	1	14	2016-01-14 19:00:00.000	CTA	Elia CA	BE	Fossil Hard coal 	0.000000	443.250000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 23:00:00.000	CTA	Elia CA	BE	Nuclear 	0.000000	5952.107500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 22:00:00.000	CTA	Elia CA	BE	Fossil Hard coal 	0.000000	433.800000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 08:00:00.000	CTA	Elia CA	BE	Hydro Pumped Storage 	0.000000	303.057500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 10:00:00.000	CTA	Elia CA	BE	Fossil Oil 	0.000000	0.000000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 16:00:00.000	CTA	Elia CA	BE	Fossil Oil 	0.000000	0.000000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 03:00:00.000	CTA	Elia CA	BE	Waste 	0.000000	159.157500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 08:00:00.000	CTA	Elia CA	BE	Solar 	0.000000	25.682500	2016-01-15 11:02:10.000
2016	1	14	2016-01-14 10:00:00.000	CTA	Elia CA	BE	Fossil Hard coal 	0.000000	457.400000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 02:00:00.000	CTA	Elia CA	BE	Biomass 	0.000000	324.580000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 16:00:00.000	CTA	Elia CA	BE	Wind Onshore 	0.000000	703.162500	2016-01-15 11:02:29.000
2016	1	14	2016-01-14 01:00:00.000	CTA	Elia CA	BE	Fossil Oil 	0.000000	0.000000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 11:00:00.000	CTA	Elia CA	BE	Fossil Oil 	0.000000	0.000000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 11:00:00.000	CTA	Elia CA	BE	Hydro Run-of-river and poundage 	0.000000	19.960000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 23:00:00.000	CTA	Elia CA	BE	Biomass 	0.000000	413.395000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 16:00:00.000	CTA	Elia CA	BE	Nuclear 	0.000000	5964.960000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 20:00:00.000	CTA	Elia CA	BE	Hydro Pumped Storage 	0.000000	0.000000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 06:00:00.000	CTA	Elia CA	BE	Nuclear 	0.000000	5949.945000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 12:00:00.000	CTA	Elia CA	BE	Fossil Hard coal 	0.000000	462.250000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 02:00:00.000	CTA	Elia CA	BE	Fossil Hard coal 	0.000000	167.850000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 07:00:00.000	CTA	Elia CA	BE	Solar 	0.000000	0.747500	2016-01-15 11:02:10.000
