year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	PowerSystemResourceName	ProductionTypeName	ActualGenerationOutput	ActualConsumption	InstalledGenCapacity	SubmissionTS
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	CRUAS 3	Nuclear 	924.000000	0.000000	915.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	DAMPIERRE 2	Nuclear 	890.000000	0.000000	890.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	MARTIGUES PONTEAU 5	Fossil Gas 	0.000000	2.000000	465.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	BLENOD 5	Fossil Gas 	0.000000	3.000000	427.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	GRAVELINES 5	Nuclear 	912.000000	0.000000	910.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	GOLFECH 1	Nuclear 	1302.000000	0.000000	1310.00	2016-01-14 06:51:11.000
2016	1	14	2016-01-14 04:00:00.000	CTA	RTE CA	FR	MARTIGUES PONTEAU 6	Fossil Gas 	0.000000	0.000000	465.00	2016-01-14 05:53:09.000
2016	1	14	2016-01-14 04:00:00.000	CTA	RTE CA	FR	CHINON 3	Nuclear 	773.000000	0.000000	905.00	2016-01-14 05:53:09.000
2016	1	14	2016-01-14 04:00:00.000	CTA	RTE CA	FR	SAINT-PIERRE	Hydro Run-of-river and poundage 	0.000000	0.000000	122.00	2016-01-14 05:53:09.000
2016	1	14	2016-01-14 04:00:00.000	CTA	RTE CA	FR	ARRIGHI 1	Fossil Oil 	0.000000	0.000000	125.00	2016-01-14 05:53:09.000
2016	1	14	2016-01-14 06:00:00.000	CTA	RTE CA	FR	SISTERON 2	Hydro Water Reservoir 	0.000000	0.000000	126.00	2016-01-14 07:55:09.000
2016	1	14	2016-01-14 06:00:00.000	CTA	RTE CA	FR	SUPER BISSORTE 5	Hydro Pumped Storage 	0.000000	0.000000	162.00	2016-01-14 07:55:09.000
2016	1	14	2016-01-14 04:00:00.000	CTA	RTE CA	FR	ARAMON 1	Fossil Oil 	0.000000	3.000000	0.00	2016-01-14 05:53:09.000
2016	1	14	2016-01-14 04:00:00.000	CTA	RTE CA	FR	AIGLE 6	Hydro Water Reservoir 	81.000000	0.000000	146.00	2016-01-14 05:53:09.000
2016	1	14	2016-01-14 11:00:00.000	CTA	RTE CA	FR	REVIN 4	Hydro Pumped Storage 	129.000000	0.000000	202.00	2016-01-14 12:55:09.000
2016	1	14	2016-01-14 11:00:00.000	CTA	RTE CA	FR	BELLEVILLE 1	Nuclear 	1296.000000	0.000000	1310.00	2016-01-14 12:55:09.000
2016	1	14	2016-01-14 10:00:00.000	CTA	RTE CA	FR	NOGENT 2	Nuclear 	1309.000000	0.000000	1310.00	2016-01-14 11:53:09.000
2016	1	14	2016-01-14 10:00:00.000	CTA	RTE CA	FR	GRAND MAISON 4	Hydro Pumped Storage 	0.000000	0.000000	152.00	2016-01-14 11:53:09.000
2016	1	14	2016-01-14 12:00:00.000	CTA	RTE CA	FR	BUGEY 4	Nuclear 	888.000000	0.000000	880.00	2016-01-14 13:49:08.000
2016	1	14	2016-01-14 12:00:00.000	CTA	RTE CA	FR	CHINON 3	Nuclear 	904.000000	0.000000	905.00	2016-01-14 13:49:08.000
2016	1	14	2016-01-14 08:00:00.000	CTA	RTE CA	FR	GRAND MAISON 5	Hydro Pumped Storage 	138.000000	0.000000	152.00	2016-01-14 09:54:08.000
2016	1	14	2016-01-14 08:00:00.000	CTA	RTE CA	FR	CRUAS 1	Nuclear 	906.000000	0.000000	915.00	2016-01-14 09:54:08.000
2016	1	14	2016-01-14 08:00:00.000	CTA	RTE CA	FR	REVIN 2	Hydro Pumped Storage 	133.000000	0.000000	202.00	2016-01-14 09:54:08.000
2016	1	14	2016-01-14 08:00:00.000	CTA	RTE CA	FR	VAIRES 3	Fossil Oil 	0.000000	0.000000	182.00	2016-01-14 09:54:08.000
2016	1	14	2016-01-14 08:00:00.000	CTA	RTE CA	FR	DAMPIERRE 2	Nuclear 	894.000000	0.000000	890.00	2016-01-14 09:54:08.000
2016	1	14	2016-01-14 09:00:00.000	CTA	RTE CA	FR	TRICASTIN 3	Nuclear 	938.000000	0.000000	915.00	2016-01-14 10:53:08.000
2016	1	14	2016-01-14 09:00:00.000	CTA	RTE CA	FR	GRAND MAISON 10	Hydro Pumped Storage 	72.000000	0.000000	157.00	2016-01-14 10:53:08.000
2016	1	14	2016-01-14 09:00:00.000	CTA	RTE CA	FR	BRENNILIS 2	Fossil Oil 	0.000000	0.000000	85.00	2016-01-14 10:53:08.000
2016	1	14	2016-01-14 09:00:00.000	CTA	RTE CA	FR	CYCOFOS PL2	Other 	1.000000	0.000000	62.00	2016-01-14 10:53:08.000
2016	1	14	2016-01-14 09:00:00.000	CTA	RTE CA	FR	SUPER BISSORTE 1	Hydro Pumped Storage 	0.000000	0.000000	152.00	2016-01-14 10:53:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	PORCHEVILLE 4	Fossil Oil 	0.000000	0.000000	585.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	BORT 2	Hydro Water Reservoir 	0.000000	0.000000	114.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	SUPER BISSORTE 1	Hydro Pumped Storage 	0.000000	0.000000	152.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	SISTERON 2	Hydro Water Reservoir 	0.000000	0.000000	126.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	FLAMANVILLE 2	Nuclear 	0.000000	20.000000	1330.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	SUPER BISSORTE 5	Hydro Pumped Storage 	0.000000	0.000000	162.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	FESSENHEIM 2	Nuclear 	868.000000	0.000000	880.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	PALUEL 4	Nuclear 	1288.000000	0.000000	1330.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 03:00:00.000	CTA	RTE CA	FR	TRICASTIN 4	Nuclear 	948.000000	0.000000	915.00	2016-01-14 04:55:08.000
2016	1	14	2016-01-14 07:00:00.000	CTA	RTE CA	FR	REVIN 1	Hydro Pumped Storage 	114.000000	0.000000	202.00	2016-01-14 08:55:10.000
2016	1	14	2016-01-14 07:00:00.000	CTA	RTE CA	FR	Pont-sur-Sambre	Fossil Gas 	393.000000	0.000000	412.00	2016-01-14 08:55:10.000
2016	1	14	2016-01-14 07:00:00.000	CTA	RTE CA	FR	NOGENT 2	Nuclear 	1309.000000	0.000000	1310.00	2016-01-14 08:55:10.000
2016	1	14	2016-01-14 01:00:00.000	CTA	RTE CA	FR	BELLEVILLE 2	Nuclear 	1231.000000	0.000000	1310.00	2016-01-14 02:51:08.000
2016	1	14	2016-01-14 13:00:00.000	CTA	RTE CA	FR	GRAND MAISON 4	Hydro Pumped Storage 	0.000000	0.000000	152.00	2016-01-14 14:52:09.000
2016	1	14	2016-01-14 01:00:00.000	CTA	RTE CA	FR	DAMPIERRE 3	Nuclear 	803.000000	0.000000	890.00	2016-01-14 02:51:08.000
2016	1	14	2016-01-14 01:00:00.000	CTA	RTE CA	FR	GRAVELINES 3	Nuclear 	901.000000	0.000000	910.00	2016-01-14 02:51:08.000
2016	1	14	2016-01-14 02:00:00.000	CTA	RTE CA	FR	ST ALBAN 2	Nuclear 	853.000000	0.000000	1335.00	2016-01-14 03:52:09.000
2016	1	14	2016-01-14 00:00:00.000	CTA	RTE CA	FR	CORDEMAIS 3	Fossil Oil 	0.000000	13.000000	685.00	2016-01-14 01:51:09.000
2016	1	14	2016-01-14 00:00:00.000	CTA	RTE CA	FR	CHASTANG 3	Hydro Run-of-river and poundage 	78.000000	0.000000	106.00	2016-01-14 01:51:09.000
2016	1	14	2016-01-14 00:00:00.000	CTA	RTE CA	FR	VILLARODIN 1	Hydro Water Reservoir 	0.000000	0.000000	180.00	2016-01-14 01:51:09.000
2016	1	14	2016-01-14 00:00:00.000	CTA	RTE CA	FR	DAMPIERRE 4	Nuclear 	784.000000	0.000000	890.00	2016-01-14 01:51:09.000
2016	1	14	2016-01-14 00:00:00.000	CTA	RTE CA	FR	CYCOFOS PL1	Fossil Gas 	1.000000	0.000000	428.00	2016-01-14 01:51:09.000
2016	1	14	2016-01-14 14:00:00.000	CTA	RTE CA	FR	MONTEZIC 3	Hydro Pumped Storage 	0.000000	0.000000	227.00	2016-01-14 15:59:09.000
2016	1	14	2016-01-14 14:00:00.000	CTA	RTE CA	FR	GRAND MAISON 10	Hydro Pumped Storage 	125.000000	0.000000	157.00	2016-01-14 15:59:09.000
2016	1	14	2016-01-14 14:00:00.000	CTA	RTE CA	FR	SUPER BISSORTE 1	Hydro Pumped Storage 	11.000000	0.000000	152.00	2016-01-14 15:59:09.000
2016	1	14	2016-01-14 14:00:00.000	CTA	RTE CA	FR	BLAYAIS 1	Nuclear 	907.000000	0.000000	910.00	2016-01-14 15:59:09.000
2016	1	14	2016-01-14 14:00:00.000	CTA	RTE CA	FR	GRAND MAISON 6	Hydro Pumped Storage 	0.000000	0.000000	152.00	2016-01-14 15:59:09.000
2016	1	14	2016-01-14 12:00:00.000	CTA	RTE CA	FR	BLAYAIS 4	Nuclear 	904.000000	0.000000	910.00	2016-01-14 13:49:08.000
